04.369, 27.42, 0.62
05.762, 27.42, 0.62
07.151, 27.42, 0.62
08.528, 27.42, 0.62
09.941, 16.68, 0.62
11.323, 16.68, 0.62
12.699, 27.42, 0.62
14.071, 5.94, 0.62
15.233, 16.68, 16649.00
16.649, 27.42, 0.62
18.032, 27.42, 0.62
19.417, 27.42, 0.62
20.784, 27.42, 0.62
22.176, 38.16, 0.62
23.764, 27.42, 2183.03
25.119, 38.16, 0.62
26.511, 38.16, 0.62
27.898, 38.16, 0.62
29.278, 48.91, 0.62
30.668, 27.42, 0.62
32.059, 27.42, 0.62
33.463, 27.42, 0.62
34.850, 27.42, 0.62
36.371, 27.42, 2307.16
37.759, 27.42, 0.62

